GrainSize,C,Mn,Si,Ni,Cr,Mo,W,As,V,Cu,t85,HV_total
5.0,0.31,1.08,1.12,0.25,1.07,0.0,0.0,0.0,0.0,0.14,74.074,539.793
5.0,0.28,1.09,1.05,0.19,0.85,0.0,0.0,0.0,0.0,0.17,3.326,561.666
6.0,0.34,0.94,1.12,0.15,0.88,0.0,0.0,0.0,0.0,0.22,34.169,565.787
5.0,0.31,0.84,1.03,0.15,0.84,0.0,0.0,0.0,0.0,0.15,4.645,582.648
7.0,0.3,1.09,1.12,0.27,1.08,0.0,0.0,0.0,0.0,0.15,13.624,573.553
5.0,0.32,0.96,0.98,0.26,1.0,0.0,0.0,0.0,0.0,0.18,6.01,592.549
7.0,0.3,0.96,1.17,0.28,0.81,0.0,0.0,0.0,0.0,0.28,3.658,581.004
5.0,0.28,1.07,1.07,0.19,0.82,0.0,0.0,0.0,0.0,0.26,6.08,556.026
5.0,0.33,1.05,1.03,0.28,0.92,0.0,0.0,0.0,0.0,0.2,5.207,603.279
5.0,0.31,0.88,1.1,0.21,1.02,0.0,0.0,0.0,0.0,0.13,36.058,546.13
6.0,0.34,0.88,1.05,0.14,0.97,0.0,0.0,0.0,0.0,0.27,5.389,610.745
6.0,0.33,0.92,0.93,0.11,1.06,0.0,0.0,0.0,0.0,0.15,4.428,602.127
5.0,0.29,1.04,0.97,0.27,0.99,0.0,0.0,0.0,0.0,0.15,7.28,564.172
7.0,0.3,0.8,1.13,0.28,0.96,0.0,0.0,0.0,0.0,0.16,15.228,550.371
7.0,0.29,0.92,0.97,0.21,1.06,0.0,0.0,0.0,0.0,0.1,5.347,566.298
7.0,0.29,1.06,1.14,0.3,0.94,0.0,0.0,0.0,0.0,0.23,4.111,573.02
6.0,0.29,1.07,1.13,0.27,0.81,0.0,0.0,0.0,0.0,0.18,20.604,544.229
5.0,0.32,1.03,1.04,0.25,0.85,0.0,0.0,0.0,0.0,0.15,3.463,597.457
5.0,0.31,0.83,0.93,0.22,0.84,0.0,0.0,0.0,0.0,0.25,3.167,583.884
6.0,0.28,0.87,1.17,0.21,1.01,0.0,0.0,0.0,0.0,0.25,74.074,365.091
7.0,0.3,0.99,0.92,0.28,0.83,0.0,0.0,0.0,0.0,0.24,5.657,571.875
6.0,0.33,1.04,1.01,0.13,0.83,0.0,0.0,0.0,0.0,0.19,35.129,552.822
6.0,0.3,0.86,1.06,0.16,1.03,0.0,0.0,0.0,0.0,0.19,4.522,578.158
5.0,0.31,0.9,1.16,0.17,0.88,0.0,0.0,0.0,0.0,0.13,4.564,587.752
7.0,0.28,0.96,1.15,0.13,0.92,0.0,0.0,0.0,0.0,0.1,4.17,561.517
7.0,0.31,0.88,1.09,0.19,1.03,0.0,0.0,0.0,0.0,0.22,11.962,576.709
5.0,0.3,1.02,0.99,0.26,1.02,0.0,0.0,0.0,0.0,0.18,5.393,576.487
7.0,0.31,0.97,0.99,0.21,0.87,0.0,0.0,0.0,0.0,0.1,12.976,569.59
6.0,0.31,1.1,0.97,0.13,0.95,0.0,0.0,0.0,0.0,0.15,17.281,571.615
6.0,0.29,1.08,0.93,0.28,0.83,0.0,0.0,0.0,0.0,0.27,3.522,567.66
5.0,0.29,1.05,0.97,0.19,1.03,0.0,0.0,0.0,0.0,0.1,4.422,568.811
5.0,0.3,0.98,1.16,0.26,0.82,0.0,0.0,0.0,0.0,0.18,20.79,557.616
6.0,0.33,0.91,1.08,0.24,0.83,0.0,0.0,0.0,0.0,0.29,28.275,558.848
5.0,0.29,0.8,1.18,0.17,0.98,0.0,0.0,0.0,0.0,0.29,16.713,544.594
6.0,0.31,0.87,0.92,0.16,0.88,0.0,0.0,0.0,0.0,0.18,3.852,582.435
5.0,0.3,0.98,0.95,0.22,0.97,0.0,0.0,0.0,0.0,0.17,3.435,577.953
6.0,0.31,0.92,1.04,0.28,0.93,0.0,0.0,0.0,0.0,0.27,8.071,582.187
6.0,0.29,0.86,1.04,0.12,1.09,0.0,0.0,0.0,0.0,0.24,170.455,261.294
7.0,0.33,0.91,0.9,0.3,0.82,0.0,0.0,0.0,0.0,0.12,5.928,596.268
7.0,0.34,1.09,1.11,0.25,0.95,0.0,0.0,0.0,0.0,0.24,11.623,611.303
7.0,0.32,0.81,0.94,0.12,1.05,0.0,0.0,0.0,0.0,0.19,20.619,555.236
5.0,0.34,1.04,1.16,0.18,1.05,0.0,0.0,0.0,0.0,0.3,4.089,618.896
6.0,0.33,0.92,0.94,0.3,0.92,0.0,0.0,0.0,0.0,0.24,3.684,603.347
7.0,0.31,0.98,1.02,0.29,0.91,0.0,0.0,0.0,0.0,0.19,13.599,573.486
5.0,0.32,0.84,1.15,0.1,0.9,0.0,0.0,0.0,0.0,0.14,61.602,403.519
5.0,0.3,1.07,1.11,0.2,0.93,0.0,0.0,0.0,0.0,0.1,454.545,252.449
7.0,0.32,1.06,1.08,0.26,0.91,0.0,0.0,0.0,0.0,0.21,30.06,565.883
7.0,0.33,0.81,0.99,0.3,1.04,0.0,0.0,0.0,0.0,0.22,4.235,604.128
5.0,0.3,0.8,0.91,0.24,0.82,0.0,0.0,0.0,0.0,0.21,3.8,572.338
5.0,0.3,0.91,0.96,0.15,0.88,0.0,0.0,0.0,0.0,0.28,12.594,561.184
6.0,0.33,1.03,1.06,0.22,1.05,0.0,0.0,0.0,0.0,0.12,9.245,600.257
6.0,0.28,1.1,1.03,0.22,0.89,0.0,0.0,0.0,0.0,0.21,7.369,555.17
7.0,0.28,1.03,0.98,0.23,0.89,0.0,0.0,0.0,0.0,0.27,12.876,539.894
7.0,0.33,0.96,1.13,0.29,0.98,0.0,0.0,0.0,0.0,0.17,3.151,610.552
5.0,0.32,0.84,0.93,0.14,0.93,0.0,0.0,0.0,0.0,0.28,19.907,565.283
7.0,0.32,1.01,0.91,0.28,0.98,0.0,0.0,0.0,0.0,0.25,3.187,596.808
5.0,0.3,1.01,0.96,0.26,0.97,0.0,0.0,0.0,0.0,0.18,4.39,576.643
5.0,0.31,0.9,1.01,0.3,0.85,0.0,0.0,0.0,0.0,0.15,4.479,584.45
5.0,0.28,0.86,0.94,0.21,0.93,0.0,0.0,0.0,0.0,0.15,6.983,550.717
7.0,0.33,1.02,1.01,0.19,0.84,0.0,0.0,0.0,0.0,0.27,3.298,605.172
6.0,0.31,1.0,1.11,0.27,1.05,0.0,0.0,0.0,0.0,0.22,10.446,582.906
6.0,0.33,1.07,1.17,0.14,0.95,0.0,0.0,0.0,0.0,0.13,5.228,606.575
7.0,0.31,1.06,0.98,0.14,0.86,0.0,0.0,0.0,0.0,0.15,17.133,564.07
6.0,0.29,0.91,0.98,0.23,0.91,0.0,0.0,0.0,0.0,0.18,3.985,566.896
5.0,0.32,0.94,1.02,0.15,0.95,0.0,0.0,0.0,0.0,0.28,71.429,474.528
5.0,0.32,0.93,1.18,0.18,0.88,0.0,0.0,0.0,0.0,0.19,3.601,599.688
7.0,0.29,0.88,1.01,0.1,1.01,0.0,0.0,0.0,0.0,0.17,10.163,554.328
7.0,0.33,0.85,0.96,0.27,0.87,0.0,0.0,0.0,0.0,0.24,4.918,600.072
7.0,0.3,1.03,1.13,0.26,1.06,0.0,0.0,0.0,0.0,0.23,6.522,579.269
5.0,0.33,0.85,1.03,0.12,1.05,0.0,0.0,0.0,0.0,0.27,4.514,603.79
7.0,0.34,0.89,1.14,0.18,1.07,0.0,0.0,0.0,0.0,0.27,3.732,618.493
6.0,0.32,0.88,1.17,0.1,0.93,0.0,0.0,0.0,0.0,0.29,6.119,594.225
6.0,0.34,0.91,1.04,0.25,1.07,0.0,0.0,0.0,0.0,0.22,28.681,595.211
6.0,0.3,1.01,1.06,0.2,0.89,0.0,0.0,0.0,0.0,0.11,3.575,579.441
5.0,0.28,0.9,0.94,0.2,1.04,0.0,0.0,0.0,0.0,0.25,5.899,555.086
5.0,0.3,1.09,1.02,0.14,0.92,0.0,0.0,0.0,0.0,0.12,3.836,578.603
7.0,0.32,0.84,0.96,0.13,0.99,0.0,0.0,0.0,0.0,0.17,7.236,588.732
5.0,0.31,0.81,1.03,0.13,0.92,0.0,0.0,0.0,0.0,0.26,5.758,581.484
5.0,0.3,0.9,1.12,0.14,1.09,0.0,0.0,0.0,0.0,0.11,3.948,581.654
7.0,0.31,0.85,0.96,0.21,0.85,0.0,0.0,0.0,0.0,0.16,7.835,574.246
5.0,0.34,0.9,1.19,0.23,0.91,0.0,0.0,0.0,0.0,0.25,25.402,593.654
6.0,0.3,0.85,1.03,0.29,1.06,0.0,0.0,0.0,0.0,0.29,7.924,574.05
6.0,0.32,0.89,1.11,0.18,0.96,0.0,0.0,0.0,0.0,0.16,32.189,548.572
7.0,0.3,1.0,1.18,0.19,1.04,0.0,0.0,0.0,0.0,0.14,4.141,583.531
5.0,0.32,0.96,0.99,0.17,1.02,0.0,0.0,0.0,0.0,0.24,3.079,598.482
5.0,0.33,0.96,1.14,0.2,0.94,0.0,0.0,0.0,0.0,0.22,11.728,600.562
6.0,0.32,1.01,1.09,0.17,1.09,0.0,0.0,0.0,0.0,0.19,6.008,596.165
7.0,0.33,0.9,1.01,0.13,0.97,0.0,0.0,0.0,0.0,0.17,4.068,603.549
7.0,0.33,1.02,1.1,0.2,0.83,0.0,0.0,0.0,0.0,0.21,3.866,606.067
5.0,0.31,0.96,1.09,0.11,0.84,0.0,0.0,0.0,0.0,0.29,3.447,587.96
6.0,0.31,0.98,1.0,0.29,0.9,0.0,0.0,0.0,0.0,0.3,4.323,585.505
5.0,0.34,0.9,1.1,0.21,1.0,0.0,0.0,0.0,0.0,0.23,5.107,613.82
7.0,0.31,0.83,1.17,0.14,1.05,0.0,0.0,0.0,0.0,0.11,4.871,589.132
5.0,0.33,1.05,1.13,0.25,0.81,0.0,0.0,0.0,0.0,0.21,13.941,597.301
6.0,0.33,0.98,1.18,0.25,0.89,0.0,0.0,0.0,0.0,0.12,55.762,522.289
5.0,0.28,0.84,0.93,0.16,0.9,0.0,0.0,0.0,0.0,0.23,3.204,557.155
6.0,0.34,0.82,1.03,0.22,0.87,0.0,0.0,0.0,0.0,0.21,3.906,612.13
5.0,0.31,0.86,0.94,0.24,0.83,0.0,0.0,0.0,0.0,0.13,10.145,573.079
6.0,0.33,0.92,1.14,0.26,1.03,0.0,0.0,0.0,0.0,0.22,3.007,611.977
6.0,0.32,0.83,1.06,0.18,0.84,0.0,0.0,0.0,0.0,0.21,3.535,594.905
6.0,0.29,0.89,1.0,0.26,1.05,0.0,0.0,0.0,0.0,0.22,4.528,568.524
6.0,0.31,0.98,1.16,0.26,0.99,0.0,0.0,0.0,0.0,0.28,13.953,580.499
6.0,0.33,0.89,1.18,0.2,0.88,0.0,0.0,0.0,0.0,0.27,50.59,487.244
7.0,0.34,0.98,1.02,0.11,0.91,0.0,0.0,0.0,0.0,0.14,4.511,611.451
5.0,0.29,1.03,0.98,0.2,0.88,0.0,0.0,0.0,0.0,0.3,6.263,563.387
7.0,0.28,1.07,1.1,0.22,1.07,0.0,0.0,0.0,0.0,0.12,8.371,558.367
6.0,0.29,0.99,0.91,0.1,0.87,0.0,0.0,0.0,0.0,0.11,7.937,556.732
5.0,0.33,0.83,0.9,0.15,0.89,0.0,0.0,0.0,0.0,0.17,3.159,601.619
5.0,0.29,1.0,1.06,0.2,0.87,0.0,0.0,0.0,0.0,0.17,29.615,526.353
6.0,0.34,0.92,1.14,0.3,0.86,0.0,0.0,0.0,0.0,0.1,3.231,617.744
6.0,0.33,1.01,0.94,0.18,0.88,0.0,0.0,0.0,0.0,0.21,3.332,603.65
5.0,0.33,0.94,0.91,0.21,0.83,0.0,0.0,0.0,0.0,0.12,3.32,602.164
5.0,0.32,1.0,0.9,0.14,1.01,0.0,0.0,0.0,0.0,0.24,11.42,584.225
5.0,0.29,0.98,1.08,0.19,0.85,0.0,0.0,0.0,0.0,0.22,63.025,412.481
7.0,0.29,0.9,0.96,0.13,1.04,0.0,0.0,0.0,0.0,0.17,4.802,565.829
7.0,0.31,0.88,1.08,0.19,0.8,0.0,0.0,0.0,0.0,0.19,3.486,586.716
7.0,0.29,0.87,1.08,0.28,1.06,0.0,0.0,0.0,0.0,0.17,7.632,565.621
7.0,0.28,0.84,1.06,0.1,0.91,0.0,0.0,0.0,0.0,0.25,15.448,502.648
6.0,0.32,0.96,0.95,0.16,0.84,0.0,0.0,0.0,0.0,0.26,4.05,591.983
5.0,0.3,1.01,1.15,0.23,0.8,0.0,0.0,0.0,0.0,0.23,4.589,578.4
6.0,0.31,1.06,0.99,0.29,0.9,0.0,0.0,0.0,0.0,0.29,16.75,572.797
6.0,0.32,1.0,1.12,0.14,0.9,0.0,0.0,0.0,0.0,0.15,13.222,586.667
5.0,0.31,1.01,0.98,0.24,1.09,0.0,0.0,0.0,0.0,0.18,5.132,586.367
6.0,0.29,0.88,1.19,0.11,0.9,0.0,0.0,0.0,0.0,0.11,3.269,572.899
5.0,0.29,0.84,1.06,0.29,0.87,0.0,0.0,0.0,0.0,0.24,63.291,372.104
6.0,0.33,0.82,1.19,0.15,1.0,0.0,0.0,0.0,0.0,0.27,11.416,599.674
5.0,0.28,1.0,0.99,0.29,1.06,0.0,0.0,0.0,0.0,0.26,4.963,559.574
6.0,0.29,1.08,0.95,0.23,1.05,0.0,0.0,0.0,0.0,0.21,3.981,570.191
6.0,0.3,1.02,1.18,0.23,1.03,0.0,0.0,0.0,0.0,0.29,5.564,581.228
6.0,0.28,1.07,1.15,0.27,1.07,0.0,0.0,0.0,0.0,0.23,3.3,568.352
7.0,0.32,1.02,0.91,0.24,0.96,0.0,0.0,0.0,0.0,0.27,11.962,584.532
5.0,0.31,1.02,1.04,0.23,1.08,0.0,0.0,0.0,0.0,0.14,13.363,579.172
7.0,0.29,0.86,1.17,0.25,1.06,0.0,0.0,0.0,0.0,0.19,22.59,532.549
5.0,0.34,0.97,0.96,0.18,1.1,0.0,0.0,0.0,0.0,0.17,5.002,612.372
6.0,0.28,0.86,1.15,0.16,1.06,0.0,0.0,0.0,0.0,0.25,4.489,562.219
5.0,0.31,0.89,1.03,0.19,1.06,0.0,0.0,0.0,0.0,0.17,5.114,586.142
7.0,0.33,0.85,0.99,0.28,1.02,0.0,0.0,0.0,0.0,0.15,7.085,599.429
7.0,0.32,0.95,1.18,0.16,0.91,0.0,0.0,0.0,0.0,0.13,10.115,590.463
5.0,0.29,1.06,1.13,0.22,0.82,0.0,0.0,0.0,0.0,0.11,19.894,549.617
5.0,0.31,0.99,1.17,0.2,0.89,0.0,0.0,0.0,0.0,0.24,30.181,555.393
7.0,0.28,0.99,1.08,0.23,0.82,0.0,0.0,0.0,0.0,0.24,8.905,547.349
7.0,0.33,0.89,1.0,0.13,0.85,0.0,0.0,0.0,0.0,0.13,17.094,569.07
6.0,0.28,0.8,0.93,0.19,0.89,0.0,0.0,0.0,0.0,0.12,34.803,384.759
6.0,0.31,0.99,1.13,0.29,0.91,0.0,0.0,0.0,0.0,0.23,4.947,588.041
5.0,0.31,0.94,1.0,0.18,0.99,0.0,0.0,0.0,0.0,0.22,3.119,589.177
7.0,0.28,0.99,1.09,0.16,0.94,0.0,0.0,0.0,0.0,0.2,5.01,558.972
6.0,0.33,0.9,1.15,0.17,0.94,0.0,0.0,0.0,0.0,0.28,3.123,609.539
7.0,0.33,1.0,1.06,0.18,1.1,0.0,0.0,0.0,0.0,0.29,5.354,605.958
7.0,0.28,0.95,1.16,0.3,1.09,0.0,0.0,0.0,0.0,0.13,10.435,556.242
7.0,0.31,1.08,1.03,0.2,1.05,0.0,0.0,0.0,0.0,0.17,8.491,582.955
7.0,0.32,0.85,1.03,0.1,0.81,0.0,0.0,0.0,0.0,0.27,4.866,591.363
5.0,0.33,0.88,1.14,0.12,0.96,0.0,0.0,0.0,0.0,0.18,12.428,597.882
6.0,0.32,0.8,1.18,0.21,1.01,0.0,0.0,0.0,0.0,0.12,4.95,597.688
6.0,0.28,0.86,1.12,0.11,1.05,0.0,0.0,0.0,0.0,0.29,25.862,505.507
6.0,0.32,0.88,1.05,0.19,1.08,0.0,0.0,0.0,0.0,0.26,3.044,600.437
5.0,0.3,0.82,0.96,0.19,1.0,0.0,0.0,0.0,0.0,0.17,4.309,575.23
7.0,0.29,0.88,1.0,0.23,1.0,0.0,0.0,0.0,0.0,0.15,7.091,562.654
6.0,0.34,0.94,0.96,0.29,1.07,0.0,0.0,0.0,0.0,0.21,13.979,603.143
6.0,0.32,0.92,1.08,0.14,0.8,0.0,0.0,0.0,0.0,0.29,5.013,592.305
6.0,0.32,0.8,1.0,0.29,0.84,0.0,0.0,0.0,0.0,0.21,4.635,591.386
6.0,0.33,0.83,0.99,0.2,0.94,0.0,0.0,0.0,0.0,0.19,3.328,604.756
5.0,0.3,1.01,1.1,0.21,0.95,0.0,0.0,0.0,0.0,0.22,6.31,576.394
7.0,0.31,0.88,1.03,0.14,0.86,0.0,0.0,0.0,0.0,0.23,4.389,583.838
5.0,0.3,1.06,1.03,0.16,0.88,0.0,0.0,0.0,0.0,0.29,3.343,579.314
6.0,0.28,0.85,1.01,0.14,1.08,0.0,0.0,0.0,0.0,0.27,4.325,559.402
6.0,0.31,1.07,1.06,0.19,0.99,0.0,0.0,0.0,0.0,0.29,4.156,589.093
5.0,0.31,0.93,0.97,0.27,1.06,0.0,0.0,0.0,0.0,0.14,23.641,568.517
6.0,0.31,1.0,1.03,0.1,1.08,0.0,0.0,0.0,0.0,0.16,12.563,579.124
7.0,0.33,1.01,1.18,0.23,1.09,0.0,0.0,0.0,0.0,0.3,3.794,612.025
5.0,0.28,0.86,0.95,0.2,1.0,0.0,0.0,0.0,0.0,0.1,468.75,191.861
5.0,0.31,0.88,0.92,0.3,0.96,0.0,0.0,0.0,0.0,0.21,8.017,578.282
5.0,0.34,1.03,1.2,0.11,0.86,0.0,0.0,0.0,0.0,0.29,3.977,617.165
5.0,0.33,1.08,0.95,0.17,0.95,0.0,0.0,0.0,0.0,0.14,3.035,606.562
6.0,0.34,0.95,1.05,0.16,1.08,0.0,0.0,0.0,0.0,0.12,4.151,615.776
7.0,0.33,0.87,0.98,0.21,1.0,0.0,0.0,0.0,0.0,0.21,4.406,602.808
7.0,0.33,1.07,1.06,0.29,0.82,0.0,0.0,0.0,0.0,0.12,7.872,599.053
7.0,0.34,0.88,1.1,0.3,1.0,0.0,0.0,0.0,0.0,0.11,163.043,314.431
6.0,0.31,1.01,1.0,0.18,1.04,0.0,0.0,0.0,0.0,0.3,5.797,584.526
5.0,0.34,0.98,0.97,0.24,0.89,0.0,0.0,0.0,0.0,0.26,8.011,605.631
6.0,0.34,0.86,0.98,0.26,0.94,0.0,0.0,0.0,0.0,0.16,6.565,607.343
7.0,0.32,0.89,1.03,0.28,1.06,0.0,0.0,0.0,0.0,0.17,3.061,600.354
6.0,0.33,0.88,0.9,0.26,1.01,0.0,0.0,0.0,0.0,0.26,9.618,594.258
5.0,0.32,1.09,1.03,0.18,1.09,0.0,0.0,0.0,0.0,0.16,3.335,600.842
7.0,0.32,0.88,1.06,0.26,1.04,0.0,0.0,0.0,0.0,0.16,17.857,580.664
5.0,0.33,0.83,1.13,0.29,1.07,0.0,0.0,0.0,0.0,0.14,36.101,576.599
5.0,0.32,1.04,1.08,0.28,0.9,0.0,0.0,0.0,0.0,0.24,25.818,578.602
6.0,0.31,0.97,1.18,0.25,1.07,0.0,0.0,0.0,0.0,0.2,810.811,204.065
5.0,0.31,0.84,1.09,0.25,1.03,0.0,0.0,0.0,0.0,0.26,5.307,586.871
6.0,0.31,0.86,1.08,0.19,0.84,0.0,0.0,0.0,0.0,0.2,17.544,551.977
5.0,0.33,0.8,1.03,0.12,1.03,0.0,0.0,0.0,0.0,0.29,5.361,601.974
6.0,0.31,0.85,1.17,0.18,1.0,0.0,0.0,0.0,0.0,0.29,8.159,584.814
5.0,0.29,1.05,1.18,0.29,0.83,0.0,0.0,0.0,0.0,0.21,5.338,569.784
7.0,0.29,0.91,1.05,0.16,0.84,0.0,0.0,0.0,0.0,0.21,7.029,558.989
6.0,0.31,1.06,1.08,0.23,0.81,0.0,0.0,0.0,0.0,0.29,3.469,588.616
7.0,0.34,1.01,1.11,0.11,0.82,0.0,0.0,0.0,0.0,0.16,3.046,616.314
5.0,0.28,1.07,0.94,0.24,0.85,0.0,0.0,0.0,0.0,0.24,6.184,553.253
5.0,0.34,0.88,1.16,0.26,0.92,0.0,0.0,0.0,0.0,0.26,7.387,610.996
7.0,0.32,1.05,1.02,0.1,0.94,0.0,0.0,0.0,0.0,0.17,3.952,596.181
6.0,0.33,1.01,0.94,0.11,0.84,0.0,0.0,0.0,0.0,0.26,6.696,596.137
5.0,0.33,1.06,1.19,0.15,0.93,0.0,0.0,0.0,0.0,0.26,14.151,600.622
7.0,0.3,1.03,1.1,0.25,0.94,0.0,0.0,0.0,0.0,0.18,11.295,569.935
7.0,0.3,0.82,1.02,0.12,0.95,0.0,0.0,0.0,0.0,0.19,3.633,577.038
7.0,0.31,1.08,1.17,0.13,0.85,0.0,0.0,0.0,0.0,0.23,3.742,590.404
6.0,0.32,0.91,0.95,0.1,1.1,0.0,0.0,0.0,0.0,0.17,14.306,583.733
6.0,0.33,0.98,1.16,0.26,1.03,0.0,0.0,0.0,0.0,0.17,3.482,611.225
5.0,0.31,0.8,1.04,0.27,0.94,0.0,0.0,0.0,0.0,0.3,4.71,584.899
6.0,0.32,0.82,1.19,0.14,0.97,0.0,0.0,0.0,0.0,0.12,16.639,574.191
6.0,0.29,0.86,1.05,0.23,1.01,0.0,0.0,0.0,0.0,0.13,4.805,568.124
6.0,0.33,0.83,1.07,0.12,0.81,0.0,0.0,0.0,0.0,0.29,36.585,456.399
6.0,0.29,0.85,1.06,0.26,0.86,0.0,0.0,0.0,0.0,0.15,20.877,516.458
5.0,0.31,0.89,0.98,0.21,1.05,0.0,0.0,0.0,0.0,0.14,5.265,584.535
6.0,0.33,0.97,1.15,0.18,0.96,0.0,0.0,0.0,0.0,0.22,3.694,609.181
6.0,0.31,1.0,1.01,0.2,1.03,0.0,0.0,0.0,0.0,0.24,3.054,590.494
5.0,0.32,1.08,1.19,0.11,0.84,0.0,0.0,0.0,0.0,0.2,3.27,600.671
5.0,0.32,0.86,1.04,0.29,1.04,0.0,0.0,0.0,0.0,0.18,17.964,583.789
6.0,0.34,0.95,0.95,0.2,0.91,0.0,0.0,0.0,0.0,0.13,115.385,361.286
7.0,0.32,0.96,1.18,0.25,1.07,0.0,0.0,0.0,0.0,0.21,30.334,569.404
6.0,0.31,0.82,1.13,0.23,0.86,0.0,0.0,0.0,0.0,0.14,11.61,568.878
5.0,0.31,0.96,1.07,0.11,1.02,0.0,0.0,0.0,0.0,0.28,7.578,583.141
6.0,0.33,0.97,1.13,0.29,0.92,0.0,0.0,0.0,0.0,0.16,13.471,598.457
7.0,0.3,0.9,1.05,0.19,0.88,0.0,0.0,0.0,0.0,0.11,89.286,294.94
6.0,0.32,1.07,0.93,0.13,1.07,0.0,0.0,0.0,0.0,0.29,14.347,585.418
7.0,0.31,0.97,0.93,0.23,0.96,0.0,0.0,0.0,0.0,0.18,4.727,583.773
6.0,0.3,0.9,1.09,0.24,0.98,0.0,0.0,0.0,0.0,0.18,11.291,569.294
6.0,0.32,0.88,1.13,0.2,1.01,0.0,0.0,0.0,0.0,0.27,7.364,593.54
5.0,0.3,0.94,1.07,0.24,0.96,0.0,0.0,0.0,0.0,0.29,4.95,577.423
5.0,0.32,1.01,0.98,0.26,0.94,0.0,0.0,0.0,0.0,0.25,5.332,593.226
5.0,0.34,1.04,1.07,0.25,0.89,0.0,0.0,0.0,0.0,0.13,5.775,612.004
7.0,0.3,1.04,0.93,0.19,1.1,0.0,0.0,0.0,0.0,0.17,4.548,577.357
6.0,0.33,1.02,0.93,0.21,0.91,0.0,0.0,0.0,0.0,0.13,5.814,599.164
7.0,0.33,0.87,0.96,0.27,1.01,0.0,0.0,0.0,0.0,0.27,6.882,598.868
6.0,0.32,1.03,0.91,0.16,0.84,0.0,0.0,0.0,0.0,0.23,9.163,585.367
7.0,0.31,0.91,1.06,0.19,1.09,0.0,0.0,0.0,0.0,0.25,24.351,557.401
5.0,0.28,0.99,1.01,0.28,0.82,0.0,0.0,0.0,0.0,0.26,44.843,457.744
5.0,0.29,0.91,0.99,0.27,0.98,0.0,0.0,0.0,0.0,0.26,7.376,563.006
7.0,0.28,1.04,0.92,0.28,1.07,0.0,0.0,0.0,0.0,0.25,17.741,541.366
5.0,0.31,1.0,1.01,0.16,1.06,0.0,0.0,0.0,0.0,0.22,3.649,589.041
5.0,0.3,1.01,1.07,0.23,1.01,0.0,0.0,0.0,0.0,0.18,36.364,549.326
6.0,0.33,1.1,0.93,0.16,0.81,0.0,0.0,0.0,0.0,0.28,4.165,601.073
6.0,0.31,1.09,1.03,0.18,0.81,0.0,0.0,0.0,0.0,0.24,7.128,580.675
6.0,0.32,0.89,1.08,0.22,1.04,0.0,0.0,0.0,0.0,0.13,3.032,600.987
5.0,0.3,1.07,1.09,0.27,1.07,0.0,0.0,0.0,0.0,0.13,5.578,580.289
5.0,0.31,0.81,0.94,0.3,1.09,0.0,0.0,0.0,0.0,0.13,4.083,586.245
6.0,0.28,0.92,0.95,0.19,0.92,0.0,0.0,0.0,0.0,0.23,6.972,550.304
7.0,0.28,1.07,0.94,0.12,1.0,0.0,0.0,0.0,0.0,0.24,21.127,527.42
7.0,0.34,1.0,1.12,0.18,0.81,0.0,0.0,0.0,0.0,0.19,14.851,600.32
5.0,0.29,0.95,1.01,0.21,0.86,0.0,0.0,0.0,0.0,0.25,31.348,512.9
6.0,0.33,0.89,1.0,0.18,0.93,0.0,0.0,0.0,0.0,0.17,5.405,600.36
7.0,0.31,1.09,1.12,0.16,1.05,0.0,0.0,0.0,0.0,0.3,84.27,460.5
5.0,0.3,1.08,1.0,0.12,1.05,0.0,0.0,0.0,0.0,0.22,14.5,568.347
7.0,0.34,1.05,1.16,0.11,1.05,0.0,0.0,0.0,0.0,0.26,4.418,617.751
6.0,0.32,1.08,1.09,0.23,0.89,0.0,0.0,0.0,0.0,0.26,8.691,590.886
5.0,0.33,0.99,1.1,0.25,0.94,0.0,0.0,0.0,0.0,0.17,7.312,602.113
7.0,0.33,0.95,1.18,0.29,1.06,0.0,0.0,0.0,0.0,0.28,20.175,595.701
7.0,0.28,0.95,0.93,0.28,1.0,0.0,0.0,0.0,0.0,0.25,9.769,547.848
6.0,0.28,1.05,0.92,0.29,0.94,0.0,0.0,0.0,0.0,0.22,294.118,282.482
5.0,0.32,0.81,1.18,0.12,0.88,0.0,0.0,0.0,0.0,0.3,52.724,410.84
5.0,0.34,0.95,1.19,0.24,0.88,0.0,0.0,0.0,0.0,0.13,32.573,587.091
5.0,0.29,0.81,1.04,0.23,0.86,0.0,0.0,0.0,0.0,0.16,3.549,567.67
7.0,0.32,0.98,1.0,0.3,1.08,0.0,0.0,0.0,0.0,0.25,3.582,598.983
5.0,0.3,0.84,1.19,0.26,0.96,0.0,0.0,0.0,0.0,0.22,3.193,583.692
6.0,0.29,0.96,1.01,0.24,0.83,0.0,0.0,0.0,0.0,0.22,11.128,553.825
7.0,0.32,0.82,0.94,0.12,0.97,0.0,0.0,0.0,0.0,0.15,6.731,588.209
5.0,0.33,0.97,1.07,0.21,0.88,0.0,0.0,0.0,0.0,0.21,6.094,601.469
6.0,0.33,0.82,1.17,0.25,1.04,0.0,0.0,0.0,0.0,0.11,4.161,608.827
7.0,0.33,0.85,1.1,0.22,0.84,0.0,0.0,0.0,0.0,0.25,27.422,523.104
7.0,0.28,0.91,1.09,0.22,0.83,0.0,0.0,0.0,0.0,0.15,25.445,453.245
6.0,0.32,0.94,1.09,0.29,0.88,0.0,0.0,0.0,0.0,0.19,3.555,598.374
